DATA STORAGE FILE
version:1.0.0
//CATEGORY|PREFIX|CURRENT|TOTAL|RENTED|LOST|AVAILABLE
//ASSET|STATUS|CLIENT|DATE
**INFORMATION
SMALL|1|31|30|0|0|30
1022|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1023|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1024|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1025|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1026|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1027|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1028|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1029|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
1030|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
**DATA-M
2001|L|Pablo Martinez|17/05/2023|||
2002|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2003|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2004|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2005|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2006|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2007|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2008|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2009|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2010|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2011|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2012|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2013|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2014|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2015|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2016|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2017|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2018|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2019|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
2020|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
**DATA-L
3001|R|Pablo Martinez|19/05/2023|||
3002|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3003|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3004|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3005|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3006|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3007|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3008|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3009|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3010|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3011|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3012|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3013|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3014|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3015|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3016|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3017|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3018|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3019|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3020|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3021|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3022|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3023|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3024|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
3025|A|XXXXXXXXXXXXXXXXXXXXXXXXX|XXXXXXXXXX|||
